Test Case ID : TC_00094
Module       : File Download
Timestamp    : 2026-01-10 07:34:00
Build Number : 1434
Status       : FAIL

Failure Reason : API 500 Internal Server Error
Failure Details:
h0Echmb4ZPNq5lycL Zkn6rp019bJ7bi0AY2roI7LJZuCbswxYV1TbuzaRc3V7pox2NuvxYDWC6nXSX7evNPeQa24eAqT9OUGyezy466khsGf40WSYSyh9WbC9NvjhUuZD 4TAvVrJXQYKPX5zWUTAb msuCWcHr5IJpvZg7jouFTTrrPOc0wVhxcU7UZPyrGEdskbQ7iv7785yGthegFTzBOkrfrUkjU6ksjgaZM4ZnQ8ELAPrg5Z7I20Qmf0uJHR1SQOiMhcPzDg7ohWT0JOfyQh1UCMbWLThxjLMXNr BbNCtdSIPIMcFL0c2uEnh4zA0XO7cMpPKvUr2DZSDxZAewMGDeX7epMNcxrFZ8i170mCByElbciv4PasbIsIlgc6VXadNV5291psA

Stack Trace:
    at com.app.FileDownloadClass.method0(File.java:948)
    at com.app.FileDownloadClass.method1(File.java:218)
    at com.app.FileDownloadClass.method2(File.java:118)
    at com.app.FileDownloadClass.method3(File.java:610)
    at com.app.FileDownloadClass.method4(File.java:511)
    at com.app.FileDownloadClass.method5(File.java:221)
    at com.app.FileDownloadClass.method6(File.java:16)
    at com.app.FileDownloadClass.method7(File.java:631)
    at com.app.FileDownloadClass.method8(File.java:351)
    at com.app.FileDownloadClass.method9(File.java:866)
    at com.app.FileDownloadClass.method10(File.java:81)
    at com.app.FileDownloadClass.method11(File.java:790)
    at com.app.FileDownloadClass.method12(File.java:815)
    at com.app.FileDownloadClass.method13(File.java:139)
    at com.app.FileDownloadClass.method14(File.java:815)
    at com.app.FileDownloadClass.method15(File.java:888)
    at com.app.FileDownloadClass.method16(File.java:15)
    at com.app.FileDownloadClass.method17(File.java:35)
    at com.app.FileDownloadClass.method18(File.java:967)
    at com.app.FileDownloadClass.method19(File.java:981)
