Test Case ID : TC_00099
Module       : Filter
Timestamp    : 2026-01-10 07:39:00
Build Number : 3014
Status       : FAIL

Failure Reason : NullPointerException
Failure Details:
H6JY9QpexpTHPXojdTCIsUq9BmeE6F6FoZdHVdNeE0roxlJPGYNE9KMOtee5FGGUIbJ3DTzTl5aOLCZffP6Fqb9h6DKqRodv1eXuSphFX4zt0EHsM3IxzZovoY6AdtKHSh7UbW1TtO4uhRHBNXa FjbzilZU7nRtljQxx8VPdd5I0xNtTUgkDpQ7oE0ev1WAeyvpjYq6TL9Bi2HdYxpfpuO17MPRgxppDKbyLmVe85mMMEmgVGsIGfuCV3wShxG4M4RRCuO0UNdYycn5GsMyLkruBXd7rT4CyUD5J5HjzFsU5xrl8m86p2Faxi5rVsZ5YmRFirXapVsnXnH1uzaHmmw4BtoK3jV5GIpR53IfzPWQZYYvoEFJgMXvJ FLbLXX qKZVgz5zmE2YeqG

Stack Trace:
    at com.app.FilterClass.method0(File.java:912)
    at com.app.FilterClass.method1(File.java:219)
    at com.app.FilterClass.method2(File.java:610)
    at com.app.FilterClass.method3(File.java:943)
    at com.app.FilterClass.method4(File.java:100)
    at com.app.FilterClass.method5(File.java:843)
    at com.app.FilterClass.method6(File.java:615)
    at com.app.FilterClass.method7(File.java:369)
    at com.app.FilterClass.method8(File.java:590)
    at com.app.FilterClass.method9(File.java:910)
    at com.app.FilterClass.method10(File.java:649)
    at com.app.FilterClass.method11(File.java:998)
    at com.app.FilterClass.method12(File.java:411)
    at com.app.FilterClass.method13(File.java:201)
    at com.app.FilterClass.method14(File.java:765)
    at com.app.FilterClass.method15(File.java:39)
    at com.app.FilterClass.method16(File.java:36)
    at com.app.FilterClass.method17(File.java:861)
    at com.app.FilterClass.method18(File.java:452)
    at com.app.FilterClass.method19(File.java:300)
