Test Case ID : TC_00104
Module       : Database Validation
Timestamp    : 2026-01-10 07:44:00
Build Number : 4233
Status       : FAIL

Failure Reason : ElementNotFound
Failure Details:
4BMsXoi2DjXNxDTBERYrtMUQk5abZJj73l3 2kzJiBMqzgBBEXMKQv2vbp3iyNslmG L2KcxuOfIu32DwUSt PqUKAEAj1dy5n2Jz5nuJx79UtlqHR0pmluGra0E0IGBP2nxHGRrItlfCTWo0IsQsATBHo4SJPgZKHJmiN7CBwmUwzSUfrcidT4UpWfZzxfSUrruYGlKI5kg5ioUH6G2NqcN9eFahEieQVUQTW0OsXBoU3mCwDkBN8 x2BZB6zS3m4duo6daXPrOnQEwUNBtMKEekRdgdqg6L4wXa WCZ5VX5d1Jlh0xlqRNjn1GrT8e6SfUepy9MjwkPBQnC9IGncwR NCGJ2Bdp4kc9SKCSePXJkmYOXprLQtgHrBk5hhZP7Taph0smvrBRjQ8

Stack Trace:
    at com.app.DatabaseValidationClass.method0(File.java:348)
    at com.app.DatabaseValidationClass.method1(File.java:149)
    at com.app.DatabaseValidationClass.method2(File.java:82)
    at com.app.DatabaseValidationClass.method3(File.java:893)
    at com.app.DatabaseValidationClass.method4(File.java:527)
    at com.app.DatabaseValidationClass.method5(File.java:841)
    at com.app.DatabaseValidationClass.method6(File.java:154)
    at com.app.DatabaseValidationClass.method7(File.java:817)
    at com.app.DatabaseValidationClass.method8(File.java:356)
    at com.app.DatabaseValidationClass.method9(File.java:151)
    at com.app.DatabaseValidationClass.method10(File.java:984)
    at com.app.DatabaseValidationClass.method11(File.java:858)
    at com.app.DatabaseValidationClass.method12(File.java:681)
    at com.app.DatabaseValidationClass.method13(File.java:232)
    at com.app.DatabaseValidationClass.method14(File.java:182)
    at com.app.DatabaseValidationClass.method15(File.java:876)
    at com.app.DatabaseValidationClass.method16(File.java:925)
    at com.app.DatabaseValidationClass.method17(File.java:355)
    at com.app.DatabaseValidationClass.method18(File.java:298)
    at com.app.DatabaseValidationClass.method19(File.java:977)
