Test Case ID : TC_00154
Module       : Database Validation
Timestamp    : 2026-01-10 08:34:00
Build Number : 3441
Status       : FAIL

Failure Reason : AssertionError
Failure Details:
S48CmtGcGxbHQh PDNsUTqlIN8Wvmw8ZuTMa1vaLQq2lp9D4APiC cXtCOzFxDJqAD2WomTbLdfgMEyGjmxNuGvjsSMntaQJPrbDp7iRH7jxyMxdeFOxChDFZwNGdR4YoGdhGgjdVtcFIW8eYmBwgUDoouzmbBzBT8tyKTPo4UGIMsrHrKcoVn2sTcdP1zu8v7mJwfP55kiXoChc4GBdSshqyk96WGjjak33531lk9KINbu3uPoLfLvRZjkEWn2ddrYPaPbZVzuybN8P3ESqBmUO6dcwrrz r072pHtGK7xbAt41J9niWYb7XytHRuci7E3Jq81ZUNtHLlicdDidzelUHcJQj3OoK2gt2m3spmuD0B2LuRIZAjIy7yazaj 7EZLr8O5d2AX6nqAU

Stack Trace:
    at com.app.DatabaseValidationClass.method0(File.java:612)
    at com.app.DatabaseValidationClass.method1(File.java:553)
    at com.app.DatabaseValidationClass.method2(File.java:731)
    at com.app.DatabaseValidationClass.method3(File.java:424)
    at com.app.DatabaseValidationClass.method4(File.java:344)
    at com.app.DatabaseValidationClass.method5(File.java:177)
    at com.app.DatabaseValidationClass.method6(File.java:109)
    at com.app.DatabaseValidationClass.method7(File.java:695)
    at com.app.DatabaseValidationClass.method8(File.java:497)
    at com.app.DatabaseValidationClass.method9(File.java:618)
    at com.app.DatabaseValidationClass.method10(File.java:237)
    at com.app.DatabaseValidationClass.method11(File.java:45)
    at com.app.DatabaseValidationClass.method12(File.java:231)
    at com.app.DatabaseValidationClass.method13(File.java:531)
    at com.app.DatabaseValidationClass.method14(File.java:103)
    at com.app.DatabaseValidationClass.method15(File.java:32)
    at com.app.DatabaseValidationClass.method16(File.java:771)
    at com.app.DatabaseValidationClass.method17(File.java:14)
    at com.app.DatabaseValidationClass.method18(File.java:17)
    at com.app.DatabaseValidationClass.method19(File.java:76)
